MKT,SMB,HML,RMW,CMA,RF,year,month,Mom,PS_VWF,R_ME,R_IA,R_ROE,R_EG,PEAD,FIN,SY_SMB,MGMT,PERF,LN_F1,LN_F2,LN_F3,cap_risk,INDPRO,PCE,z_longs,z_shorts,z_longs_diff,z_shorts_diff,ZLp,ZSp
3.05,5.76,-0.45,-0.64,0.03,0.33,1967,12,3.23,,4.5645,0.2695,0.8002,1.5529,,,5.98317987,-1.0229070999999998,0.2429881,0.258557457,0.0228,-0.015856103,,1.0771370931985436,1.4882102821801357,0.105568271,0.111815735,-0.10601674700000001,-0.104793567,0.3878952613238673,0.373291378460594
-4.06,4.47,4.79,-4.58,6.45,0.4,1968,1,-4.64,-0.02086175,5.3224,4.6808,-2.779,1.261,,,3.9198437000000004,6.51137454,-4.8690204,-0.358872314,-0.153704183,0.027543078,,-0.10774473544965524,1.1045515139973316,0.01831792,0.064882227,-0.087250351,-0.046933508,0.1171244874592303,0.1887138214307748
-3.75,-2.92,1.18,-0.14,2.49,0.39,1968,2,-3.41,0.02197712,-1.6021,2.7082,-0.3612,3.399,,,-2.0975059000000003,4.1906722,-1.6973124,-0.239684543,-0.058146022,0.047906285,,0.35843867844262967,0.5085703522320628,0.177710653,0.215696027,0.159392733,0.1508138,0.1788905259802908,0.1491803444952144
0.2,-1.52,-0.62,1.17,-1.15,0.38,1968,3,3.18,0.01057792,-2.2336,-1.1412,1.6766,1.1834,,,-1.8304422,-1.6272289999999998,4.47256034,-0.271795101,-0.146000624,-0.084011144,,0.31203509232520243,2.005247376311825,0.335692265,0.331857774,0.157981612,0.11616174699999998,0.0897861919538334,0.1276616668146379
9.05,6.26,-1.14,2.79,-3.66,0.43,1968,4,5.15,0.00915347,5.3736,-2.5654,3.6574,-1.812,,,6.2806665100000005,-6.362015599999999,6.39484763,-0.3554586,-0.047199121,0.014767143,,0.14476356647266098,-0.055116663604626304,0.003247614,0.01477668,-0.332444651,-0.317081094,0.0604148881357291,0.0679666145208313
2.28,7.03,0.86,0.39,-1.82,0.45,1968,5,3.73,-0.01774824,6.663,-2.3027,1.9679,-0.3505,,,8.75396363,-2.7187226,3.88670181,-0.116795972,0.038086559,-0.235497311,,1.1218611843108128,1.0661764705882204,0.060792437,0.152471679,0.057544822999999995,0.13769499899999998,0.0317082655283962,0.0747218204284139
0.69,-0.27,0.68,-1.33,2.68,0.43,1968,6,-1.92,0.00042735,-0.4609,2.466,-0.3919,-0.0436,,,-0.1783219,2.9147363299999998,-4.9000501000000005,-0.070347808,-0.157721985,-0.067569464,,0.367202664103794,1.1822480902146326,0.003674626,0.002521645,-0.057117811,-0.149950034,0.0494168655338356,0.0616064834096374
-2.72,-1.33,5.41,-3.0,3.61,0.48,1968,7,-0.84,-0.03620883,-1.1798,2.7648,-2.0599,3.3483,,,-3.718595,4.1619193800000005,-2.6666346,-0.147346704,-0.20729869,-0.144482019,,-0.1534248339015276,1.240337947150838,0.089434748,0.045224684,0.085760122,0.042703039,0.1575689562668625,0.0973178817241571
1.34,2.29,1.01,-0.6,0.4,0.42,1968,8,1.88,0.00601579,2.2095,0.5377,-0.637,1.6268,,,3.00343465,-0.285753,2.45056544,-0.198033365,-0.076911194,-0.025881963,,0.2791142487958309,0.674715909090895,0.021403655,0.014514323,-0.06803109299999999,-0.030710361,0.2008205802235485,0.2563629976666037
4.03,2.77,0.33,-2.03,0.92,0.43,1968,9,-0.67,0.00953921,1.4401,-0.5988,-3.4599,-1.2098,,,2.31669664,-0.1292692,0.42891016000000004,-0.309135025,0.011094957,-0.151254821,,0.37879599665673336,0.2116402116402183,0.201441291,0.306935741,0.180037636,0.292421418,0.4235650415617575,0.4627578089690942
